time,claremont_count,innaloo,kelmscott_count,myaree_count,northbridge_count,oconnor_count,scarbs_count,shenton_count,vic_count
17:24:40 2021/02/08,72,93,27,67,25,65,47,24,80
17:34:43 2021/02/08,72,90,29,66,21,68,47,28,79
17:44:46 2021/02/08,68,88,27,64,21,68,52,35,77
17:54:48 2021/02/08,79,94,24,62,22,61,49,37,72
18:04:51 2021/02/08,74,99,25,62,26,55,51,38,70
18:14:54 2021/02/08,66,109,24,55,29,56,56,40,65
18:24:56 2021/02/08,74,102,23,48,31,53,53,34,64
18:34:59 2021/02/08,67,105,16,45,28,52,46,36,59
18:45:02 2021/02/08,64,104,14,45,31,48,42,34,60
18:55:04 2021/02/08,66,96,17,47,35,53,46,31,58
19:05:07 2021/02/08,74,87,15,46,32,56,45,32,63
19:15:10 2021/02/08,71,75,18,46,32,45,36,29,62
19:25:13 2021/02/08,59,68,16,52,26,43,41,32,53
19:35:15 2021/02/08,59,67,19,58,33,40,41,23,55
19:45:18 2021/02/08,56,65,19,54,33,40,41,19,52
19:55:21 2021/02/08,54,63,17,47,30,39,38,21,49
20:05:24 2021/02/08,36,63,18,43,24,35,32,22,41
20:15:27 2021/02/08,38,59,19,41,29,44,31,20,45
20:25:29 2021/02/08,39,53,20,41,29,39,24,23,45
20:35:32 2021/02/08,38,62,23,37,22,39,20,21,46
20:45:35 2021/02/08,34,57,22,36,25,39,23,21,50
20:55:37 2021/02/08,32,57,23,38,22,38,18,18,50
21:05:40 2021/02/08,34,58,22,41,23,38,20,16,49
21:15:42 2021/02/08,32,51,18,38,19,30,17,14,45
21:25:45 2021/02/08,31,54,13,31,11,27,18,6,44
21:35:47 2021/02/08,28,50,14,28,11,24,16,6,38
21:45:49 2021/02/08,24,43,11,26,10,22,16,2,34
21:55:52 2021/02/08,20,38,7,21,15,16,12,,29
22:05:55 2021/02/08,18,30,9,17,13,14,12,,22
22:15:58 2021/02/08,18,26,6,13,12,11,8,,22
22:26:00 2021/02/08,15,25,5,10,17,9,10,,19
22:36:03 2021/02/08,13,19,2,11,16,7,10,,13
22:46:06 2021/02/08,11,19,2,11,16,4,8,,13
22:56:09 2021/02/08,11,18,2,8,10,2,7,,16
23:06:11 2021/02/08,8,17,2,9,7,3,6,,17
23:16:14 2021/02/08,8,20,2,8,9,2,6,,13
23:26:17 2021/02/08,6,18,2,8,4,3,4,,12
23:36:19 2021/02/08,6,16,4,6,4,3,3,,12
23:46:22 2021/02/08,5,13,6,5,4,4,1,,10
23:56:24 2021/02/08,5,12,6,5,4,5,,,5
00:06:27 2021/02/09,4,8,5,3,4,5,,,5
00:16:30 2021/02/09,1,6,4,2,2,7,,,6
00:26:32 2021/02/09,1,5,4,3,2,7,,,7
00:36:35 2021/02/09,,6,3,3,2,6,,,7
00:46:38 2021/02/09,,4,2,2,1,6,,,7
00:56:40 2021/02/09,,3,,2,1,6,,,6
01:06:43 2021/02/09,,3,1,2,1,5,1,,5
01:16:46 2021/02/09,,4,1,1,1,3,1,,3
01:26:49 2021/02/09,,2,1,1,,2,1,,1
01:36:52 2021/02/09,,1,1,,,2,1,,
01:46:55 2021/02/09,,1,1,,,3,1,,
01:56:58 2021/02/09,,1,1,,,2,1,,
02:07:01 2021/02/09,,1,1,,,2,,,
02:17:03 2021/02/09,,1,,1,,2,,,2
02:27:06 2021/02/09,,,,1,,1,,,2
02:37:09 2021/02/09,,,,1,,1,,,2
02:47:12 2021/02/09,,,,1,,,,,2
02:57:15 2021/02/09,,,,1,,1,,,3
03:07:17 2021/02/09,,2,,1,,1,,,3
03:17:20 2021/02/09,,2,,,,1,,,2
03:27:23 2021/02/09,1,3,,1,,1,,,2
03:37:26 2021/02/09,1,3,1,2,1,1,,,2
03:47:28 2021/02/09,3,6,1,2,1,1,,,3
03:57:31 2021/02/09,3,7,1,2,1,1,1,,3
04:07:34 2021/02/09,4,7,2,2,2,,2,,3
04:17:37 2021/02/09,4,5,6,4,3,,3,,3
04:27:40 2021/02/09,6,8,8,8,4,1,3,,3
04:37:42 2021/02/09,6,11,10,6,4,1,4,,3
04:47:45 2021/02/09,6,11,9,6,5,4,4,,7
04:57:47 2021/02/09,6,16,9,6,5,4,7,,9
05:07:50 2021/02/09,11,26,12,13,7,4,11,,9
05:17:52 2021/02/09,15,33,11,13,9,6,13,,12
05:27:55 2021/02/09,20,46,12,18,10,14,15,,16
05:37:58 2021/02/09,29,55,14,21,13,17,28,,23
05:48:00 2021/02/09,38,59,15,28,16,25,30,,28
05:58:03 2021/02/09,45,66,19,33,19,35,37,,37
06:08:06 2021/02/09,61,72,19,41,22,50,45,10,46
06:18:09 2021/02/09,67,69,20,46,26,54,50,11,53
06:28:12 2021/02/09,68,67,18,45,30,54,48,12,57
06:38:14 2021/02/09,67,58,16,43,33,51,44,16,54
06:48:17 2021/02/09,69,52,16,41,28,56,41,19,53
06:58:19 2021/02/09,65,52,13,35,27,49,37,19,47
07:08:22 2021/02/09,56,55,19,36,28,42,33,22,40
07:18:25 2021/02/09,48,48,17,34,26,30,31,11,37
07:28:28 2021/02/09,42,49,13,31,21,31,26,11,36
07:38:31 2021/02/09,37,42,11,30,19,30,26,11,34
07:48:34 2021/02/09,39,46,9,26,22,29,24,10,38
07:58:36 2021/02/09,37,45,10,21,24,21,21,8,31
08:08:39 2021/02/09,35,48,7,23,22,25,24,9,29
08:18:41 2021/02/09,39,44,6,21,24,27,18,8,26
08:28:44 2021/02/09,36,40,7,20,22,30,19,9,23
08:38:47 2021/02/09,41,40,8,19,21,29,21,8,20
08:48:49 2021/02/09,39,38,11,20,18,31,24,7,19
08:58:51 2021/02/09,47,39,11,22,15,31,30,8,24
09:08:54 2021/02/09,51,45,10,25,12,33,34,9,29
09:18:56 2021/02/09,54,47,8,27,14,26,37,10,27
09:28:59 2021/02/09,48,47,10,26,11,26,38,11,32
09:39:02 2021/02/09,48,49,10,25,14,26,41,11,32
09:49:05 2021/02/09,48,53,11,26,17,29,43,13,33
09:59:08 2021/02/09,44,51,9,27,15,28,33,14,29
10:09:10 2021/02/09,36,47,10,27,16,34,31,12,37
10:19:13 2021/02/09,29,40,10,24,16,35,29,12,38
10:29:16 2021/02/09,29,44,10,20,14,35,26,11,42
10:39:18 2021/02/09,32,45,8,18,12,36,27,12,44
10:49:21 2021/02/09,31,58,9,21,13,34,24,13,43
10:59:23 2021/02/09,33,57,8,19,13,30,23,14,46
11:09:25 2021/02/09,27,58,9,20,13,31,24,13,48
11:19:28 2021/02/09,29,56,8,20,11,21,19,11,38
11:29:30 2021/02/09,33,54,8,24,10,22,16,11,39
11:39:33 2021/02/09,27,49,12,31,10,24,14,11,32
11:49:35 2021/02/09,29,46,11,29,10,20,16,12,29
11:59:38 2021/02/09,23,35,8,27,9,23,14,13,26
12:09:40 2021/02/09,24,31,8,25,13,22,14,11,24
12:19:43 2021/02/09,28,33,7,23,14,18,13,11,23
12:29:46 2021/02/09,28,35,9,31,17,20,20,11,29
12:39:48 2021/02/09,26,37,8,34,20,19,18,13,33
12:49:51 2021/02/09,28,36,5,31,22,19,17,11,35
