time,claremont_count,innaloo,kelmscott_count,myaree_count,northbridge_count,oconnor_count,scarbs_count,shenton_count,vic_count
04:20:09 2021/02/11,3,8,2,4,3,2,1,,1
04:30:11 2021/02/11,4,8,2,5,4,2,2,,1
04:40:14 2021/02/11,6,12,3,4,4,3,3,,2
04:50:16 2021/02/11,7,12,3,4,4,3,6,,4
05:00:19 2021/02/11,8,13,3,4,5,4,6,,6
05:10:22 2021/02/11,15,21,6,10,5,6,9,,7
05:20:25 2021/02/11,19,26,5,13,7,9,12,,8
05:30:28 2021/02/11,21,30,8,13,7,13,14,,15
05:40:30 2021/02/11,25,44,10,19,8,26,20,,25
05:50:33 2021/02/11,30,47,9,27,11,30,23,2,33
06:00:36 2021/02/11,39,56,13,31,15,38,28,5,40
06:10:38 2021/02/11,53,60,19,37,19,43,34,12,41
06:20:40 2021/02/11,51,63,18,39,23,42,38,17,42
06:30:43 2021/02/11,54,62,20,39,25,41,41,20,46
06:40:45 2021/02/11,57,65,17,37,28,39,38,20,41
06:50:48 2021/02/11,52,58,22,32,28,34,38,24,38
07:00:51 2021/02/11,55,56,20,27,31,32,37,23,32
07:10:54 2021/02/11,50,52,18,28,32,29,35,22,26
07:20:56 2021/02/11,43,49,14,23,26,28,31,16,28
07:30:59 2021/02/11,46,42,15,20,21,28,24,13,29
07:41:02 2021/02/11,46,36,14,19,17,24,20,14,21
07:51:05 2021/02/11,48,33,10,19,19,22,23,10,20
08:01:08 2021/02/11,41,39,14,19,20,26,28,10,22
08:11:11 2021/02/11,36,31,13,14,12,23,26,8,19
08:21:13 2021/02/11,38,33,13,15,16,29,31,11,20
08:31:15 2021/02/11,36,38,9,18,18,26,30,10,17
08:41:18 2021/02/11,30,35,7,12,16,24,31,6,20
08:51:21 2021/02/11,31,38,9,16,14,26,26,7,24
09:01:23 2021/02/11,38,42,12,21,16,29,33,11,27
09:11:27 2021/02/11,45,41,13,23,15,22,27,9,29
09:21:29 2021/02/11,42,44,15,24,13,24,27,12,35
09:31:32 2021/02/11,39,48,16,24,12,24,29,10,39
09:41:35 2021/02/11,33,43,18,26,11,25,30,11,36
09:51:37 2021/02/11,31,38,15,21,9,28,30,10,35
10:01:40 2021/02/11,39,43,18,25,12,31,33,12,40
10:11:43 2021/02/11,25,44,10,18,13,29,28,8,32
10:21:45 2021/02/11,29,43,9,20,17,24,29,6,27
10:31:48 2021/02/11,35,51,11,24,17,26,33,6,31
10:41:51 2021/02/11,31,47,8,18,17,22,27,6,23
10:51:53 2021/02/11,31,50,10,20,16,17,31,8,23
11:01:55 2021/02/11,36,54,11,26,18,23,34,10,26
11:11:58 2021/02/11,31,35,9,22,11,22,26,9,23
11:22:00 2021/02/11,30,42,8,24,9,23,23,9,25
11:32:02 2021/02/11,25,36,7,22,10,28,25,14,26
11:42:05 2021/02/11,22,35,7,23,10,31,22,19,28
11:52:08 2021/02/11,22,32,9,23,10,29,17,19,22
12:02:11 2021/02/11,30,38,10,29,13,36,21,20,24
12:12:13 2021/02/11,25,42,8,24,13,28,24,19,21
12:22:15 2021/02/11,31,37,10,21,12,26,26,21,18
12:32:18 2021/02/11,37,46,9,22,14,20,22,18,18
12:42:20 2021/02/11,41,41,8,20,12,16,20,15,16
12:52:23 2021/02/11,44,44,4,29,13,16,22,14,22
13:02:25 2021/02/11,47,50,5,33,13,18,25,15,26
13:12:28 2021/02/11,37,40,5,27,8,12,18,13,30
13:22:31 2021/02/11,29,40,5,25,10,13,16,11,31
13:32:34 2021/02/11,26,33,7,28,8,16,20,11,28
13:42:37 2021/02/11,23,32,9,29,8,17,21,10,26
13:52:39 2021/02/11,18,29,9,20,8,20,21,12,22
14:02:42 2021/02/11,20,32,9,23,10,18,23,12,24
14:12:44 2021/02/11,17,33,9,23,11,15,22,14,13
14:22:50 2021/02/11,23,28,7,23,7,16,22,13,12
14:32:55 2021/02/11,30,33,6,21,7,14,18,12,14
14:42:58 2021/02/11,32,39,4,20,7,12,19,11,17
14:53:00 2021/02/11,33,40,6,29,7,13,20,8,21
15:03:02 2021/02/11,35,40,9,27,7,17,21,10,21
15:13:05 2021/02/11,36,47,9,25,8,21,20,12,21
15:23:07 2021/02/11,29,53,11,28,12,23,19,15,24
15:33:10 2021/02/11,30,55,12,32,15,24,24,22,31
15:43:12 2021/02/11,25,58,15,36,18,28,23,25,32
15:53:14 2021/02/11,30,66,14,32,20,32,21,27,29
16:03:17 2021/02/11,31,66,20,35,21,38,20,26,35
16:13:20 2021/02/11,39,68,24,37,20,38,22,28,36
16:23:22 2021/02/11,40,70,24,35,22,40,25,26,43
16:33:25 2021/02/11,41,74,27,37,24,50,22,21,37
16:43:27 2021/02/11,46,73,27,36,29,48,27,15,42
16:53:30 2021/02/11,51,73,25,33,27,50,37,20,44
17:03:33 2021/02/11,51,71,21,36,27,51,36,23,42
17:13:35 2021/02/11,49,72,15,44,27,61,35,22,48
17:23:38 2021/02/11,51,74,20,53,25,55,40,26,44
17:33:40 2021/02/11,55,81,19,53,22,49,42,31,49
17:43:43 2021/02/11,49,69,20,51,12,52,39,38,47
17:53:46 2021/02/11,45,65,25,54,19,44,41,37,49
18:03:49 2021/02/11,45,67,22,52,22,45,39,39,46
18:13:52 2021/02/11,49,69,23,43,22,36,47,40,42
18:23:54 2021/02/11,45,70,25,37,23,36,39,33,45
18:33:57 2021/02/11,34,63,17,33,22,35,40,30,54
18:44:00 2021/02/11,38,64,15,36,27,32,45,21,53
18:54:02 2021/02/11,41,57,15,31,26,30,42,21,54
19:04:05 2021/02/11,38,50,14,32,21,25,35,17,54
19:14:08 2021/02/11,36,53,13,31,22,29,30,16,51
19:24:10 2021/02/11,39,49,8,32,25,28,32,18,46
19:34:13 2021/02/11,43,47,7,37,24,26,27,19,43
19:44:16 2021/02/11,47,50,7,34,26,23,23,19,39
19:54:19 2021/02/11,43,53,8,32,23,22,19,19,37
20:04:22 2021/02/11,37,59,7,30,19,25,21,19,38
20:14:24 2021/02/11,37,61,8,29,21,23,25,16,43
20:24:27 2021/02/11,35,59,11,29,19,23,23,11,42
20:34:30 2021/02/11,31,56,11,29,16,25,21,10,43
20:44:33 2021/02/11,29,55,10,24,18,26,19,10,40
20:54:35 2021/02/11,24,59,7,27,13,26,19,6,38
21:04:38 2021/02/11,24,55,9,25,16,24,15,3,32
21:14:41 2021/02/11,23,46,10,24,14,22,8,4,31
21:24:44 2021/02/11,27,52,9,20,13,21,7,4,22
21:34:47 2021/02/11,22,42,10,16,11,15,13,4,17
21:44:49 2021/02/11,19,45,11,17,10,12,14,2,20
21:54:53 2021/02/11,17,30,13,15,9,14,13,,15
22:04:55 2021/02/11,19,24,10,15,5,12,14,,16
22:14:58 2021/02/11,16,24,9,16,5,12,14,,17
22:25:02 2021/02/11,12,19,6,14,8,8,12,,18
22:35:04 2021/02/11,10,16,5,12,11,7,5,,17
22:45:07 2021/02/11,11,15,4,10,12,7,7,,12
22:55:10 2021/02/11,9,15,1,11,13,5,9,,11
23:05:13 2021/02/11,5,13,,7,13,3,7,,9
23:15:15 2021/02/11,6,11,,8,11,2,7,,10
23:25:18 2021/02/11,5,10,,8,8,2,7,,8
23:35:21 2021/02/11,6,8,,5,7,2,7,,7
23:45:24 2021/02/11,5,5,,5,4,2,3,,8
23:55:26 2021/02/11,4,3,1,3,2,1,1,,8
00:05:29 2021/02/12,4,3,1,2,2,1,1,,7
00:15:32 2021/02/12,2,2,1,1,2,,1,,4
00:25:35 2021/02/12,3,,2,1,2,,1,,4
00:35:38 2021/02/12,1,,3,1,2,,1,,4
00:45:41 2021/02/12,1,,3,2,4,,2,,4
00:55:44 2021/02/12,2,,2,2,3,,2,,4
01:05:47 2021/02/12,2,,2,2,2,,1,,3
01:15:50 2021/02/12,2,,2,1,2,,1,,4
01:25:52 2021/02/12,1,3,2,1,2,,1,,4
01:35:55 2021/02/12,2,4,1,1,3,1,1,,4
01:45:58 2021/02/12,2,4,,,1,1,,,2
01:56:01 2021/02/12,1,4,,,1,1,,,1
02:06:03 2021/02/12,1,4,,,1,1,,,1
02:16:05 2021/02/12,1,4,,,1,1,,,
02:26:08 2021/02/12,1,1,1,,1,1,,,
02:36:11 2021/02/12,1,,1,,1,1,,,
02:46:14 2021/02/12,,,1,,,,,,
02:56:17 2021/02/12,,,1,,,,,,1
03:06:20 2021/02/12,,1,1,,,,,,1
03:16:23 2021/02/12,,1,1,,,,,,1
03:26:26 2021/02/12,,1,,1,1,1,,,1
03:36:29 2021/02/12,,1,,1,1,3,1,,1
03:46:32 2021/02/12,1,1,,1,1,3,1,,1
03:56:34 2021/02/12,1,4,1,2,1,3,2,,
04:06:37 2021/02/12,1,4,2,3,1,3,2,,
04:16:40 2021/02/12,3,3,5,6,3,3,2,,2
04:26:42 2021/02/12,3,4,8,10,3,3,4,,3
04:36:45 2021/02/12,6,7,9,11,2,,4,,5
04:46:48 2021/02/12,6,11,11,12,2,1,3,,5
04:56:51 2021/02/12,8,15,11,12,2,4,5,,8
05:06:54 2021/02/12,16,21,13,18,5,7,8,,10
05:16:57 2021/02/12,17,26,10,20,4,11,11,,14
05:27:00 2021/02/12,18,35,9,21,5,17,18,,16
05:37:03 2021/02/12,24,40,8,25,13,18,23,,22
05:47:06 2021/02/12,27,53,10,34,15,18,27,,27
05:57:09 2021/02/12,37,60,12,36,19,23,30,2,28
06:07:11 2021/02/12,42,68,16,37,26,29,33,9,34
06:17:14 2021/02/12,44,74,17,39,29,32,37,13,36
06:27:17 2021/02/12,46,70,18,38,29,32,38,14,35
06:37:20 2021/02/12,45,78,16,39,30,30,35,17,37
06:47:22 2021/02/12,44,73,17,38,27,31,32,20,37
06:57:25 2021/02/12,44,66,14,31,27,35,29,23,34
07:07:28 2021/02/12,36,52,10,30,23,32,35,21,34
07:17:31 2021/02/12,29,59,11,31,23,25,31,12,30
07:27:34 2021/02/12,27,50,13,29,26,26,24,16,31
07:37:36 2021/02/12,32,46,13,30,24,23,32,15,24
07:47:39 2021/02/12,33,41,15,32,20,26,33,12,20
07:57:41 2021/02/12,39,39,17,27,22,27,39,11,16
08:07:44 2021/02/12,34,35,22,27,21,26,41,12,23
08:17:46 2021/02/12,37,37,19,27,17,23,41,12,23
08:27:49 2021/02/12,38,39,15,22,14,26,39,12,25
08:37:52 2021/02/12,34,43,14,20,14,28,38,13,30
08:47:54 2021/02/12,27,51,14,17,15,27,32,12,34
08:57:57 2021/02/12,31,52,12,18,16,30,28,14,43
09:08:00 2021/02/12,31,60,11,22,15,30,27,15,46
09:18:03 2021/02/12,33,56,7,32,13,31,27,14,43
09:28:06 2021/02/12,34,55,7,32,13,40,28,18,46
09:38:08 2021/02/12,41,67,8,32,11,39,25,16,48
09:48:11 2021/02/12,41,68,7,34,11,38,30,15,41
09:58:14 2021/02/12,40,65,6,31,11,38,28,13,38
10:08:17 2021/02/12,40,58,3,29,8,35,26,9,35
10:18:20 2021/02/12,40,56,3,19,7,37,22,8,36
10:28:22 2021/02/12,38,59,4,8,10,36,24,8,37
10:38:25 2021/02/12,36,50,7,6,10,31,25,6,35
10:48:28 2021/02/12,28,43,9,6,12,30,29,7,28
10:58:31 2021/02/12,22,39,12,7,10,28,26,9,33
11:08:34 2021/02/12,23,41,14,11,16,27,29,9,29
11:18:36 2021/02/12,23,48,15,10,19,23,31,13,32
11:28:39 2021/02/12,22,49,15,11,21,23,29,14,32
11:38:42 2021/02/12,24,48,18,13,22,24,28,17,31
11:48:44 2021/02/12,25,51,15,21,23,24,21,17,31
11:58:47 2021/02/12,33,55,13,24,22,19,18,17,30
12:08:49 2021/02/12,29,53,8,24,30,18,21,17,27
12:18:52 2021/02/12,29,54,7,21,28,15,21,19,31
12:28:54 2021/02/12,29,48,6,21,24,14,23,21,24
12:38:57 2021/02/12,32,55,6,20,24,16,24,23,30
12:48:59 2021/02/12,29,56,4,28,22,11,21,19,30
12:59:02 2021/02/12,25,52,5,23,18,14,24,20,30
13:09:05 2021/02/12,26,49,5,25,17,15,22,17,29
13:19:08 2021/02/12,29,51,5,27,14,14,22,18,34
13:29:10 2021/02/12,28,49,7,27,10,17,20,21,31
13:39:13 2021/02/12,25,43,6,29,9,17,18,16,32
13:49:15 2021/02/12,26,31,6,35,6,19,18,10,26
13:59:18 2021/02/12,29,35,7,29,8,25,25,12,27
14:09:21 2021/02/12,28,39,7,25,8,21,28,11,27
14:19:24 2021/02/12,35,37,8,26,9,22,27,11,28
14:29:27 2021/02/12,36,38,8,24,9,25,28,11,23
14:39:29 2021/02/12,39,43,6,19,9,21,31,8,20
14:49:32 2021/02/12,36,43,7,20,10,20,31,12,19
14:59:34 2021/02/12,41,46,6,16,13,13,35,16,23
15:09:37 2021/02/12,39,43,8,19,12,8,32,13,21
15:19:40 2021/02/12,40,40,7,25,15,11,33,14,22
15:29:43 2021/02/12,36,45,6,29,14,12,31,13,26
15:39:45 2021/02/12,37,44,7,32,16,16,28,11,33
15:49:47 2021/02/12,39,57,7,36,16,21,29,10,39
15:59:49 2021/02/12,37,66,8,41,17,23,30,8,45
16:09:52 2021/02/12,33,74,6,44,14,26,28,10,42
16:19:55 2021/02/12,34,72,7,44,15,31,26,10,47
16:29:58 2021/02/12,32,75,8,42,15,34,23,13,48
16:40:00 2021/02/12,30,79,11,35,14,39,24,19,54
16:50:02 2021/02/12,30,87,14,43,15,53,25,22,50
17:00:05 2021/02/12,29,71,15,45,18,52,25,23,58
17:10:08 2021/02/12,25,61,12,45,21,55,24,23,57
17:20:11 2021/02/12,27,59,16,46,22,59,33,23,53
17:30:13 2021/02/12,29,61,15,45,17,59,33,28,47
17:40:16 2021/02/12,33,57,13,51,15,55,38,27,43
17:50:19 2021/02/12,38,47,14,52,21,51,31,24,37
18:00:22 2021/02/12,37,45,17,46,22,39,31,21,38
18:10:25 2021/02/12,41,53,17,41,19,41,35,23,29
18:20:27 2021/02/12,44,46,19,36,16,34,34,18,27
18:30:30 2021/02/12,42,50,18,31,15,34,24,18,31
18:40:33 2021/02/12,41,48,17,27,16,34,26,13,36
18:50:35 2021/02/12,40,45,17,20,18,34,22,12,36
19:00:38 2021/02/12,36,53,15,21,13,32,24,9,38
19:10:41 2021/02/12,40,47,9,26,11,30,24,9,39
19:20:44 2021/02/12,35,44,9,26,13,24,22,6,36
19:30:47 2021/02/12,35,48,7,27,13,20,20,7,39
19:40:50 2021/02/12,36,46,5,27,12,13,22,6,36
19:50:52 2021/02/12,35,44,4,25,13,12,20,6,37
20:00:55 2021/02/12,30,40,7,27,10,8,18,4,38
20:10:57 2021/02/12,32,31,6,24,9,11,16,3,35
20:21:00 2021/02/12,29,30,7,20,10,10,17,3,28
20:31:03 2021/02/12,25,21,7,21,10,12,14,2,27
20:41:06 2021/02/12,23,19,8,19,11,12,10,,26
20:51:08 2021/02/12,19,17,7,19,15,11,10,,26
21:01:11 2021/02/12,24,16,9,18,16,16,7,,20
21:11:13 2021/02/12,19,14,6,17,16,13,7,,13
21:21:15 2021/02/12,14,19,4,16,14,15,7,,15
21:31:18 2021/02/12,16,23,5,21,14,15,7,,19
21:41:21 2021/02/12,15,23,5,19,9,13,9,,12
21:51:23 2021/02/12,13,26,6,17,6,13,6,,13
22:01:26 2021/02/12,15,32,7,17,7,14,7,,14
22:11:29 2021/02/12,7,32,4,16,3,8,6,,13
22:21:32 2021/02/12,6,32,4,14,2,6,5,,14
22:31:35 2021/02/12,8,27,4,11,7,3,5,,12
22:41:38 2021/02/12,7,23,4,5,10,2,6,,9
22:51:40 2021/02/12,8,18,4,6,11,6,4,,6
23:01:44 2021/02/12,7,12,3,5,12,6,6,,7
23:11:46 2021/02/12,7,5,2,8,12,7,5,,8
23:21:49 2021/02/12,8,4,3,6,12,7,6,,6
23:31:52 2021/02/12,8,4,3,7,12,7,7,,6
23:41:54 2021/02/12,7,3,3,8,9,7,5,,6
23:51:57 2021/02/12,6,3,2,6,9,8,4,,5
00:02:00 2021/02/13,5,2,1,5,8,4,4,,6
00:12:02 2021/02/13,4,3,1,2,6,1,2,,3
00:22:05 2021/02/13,3,3,,2,6,1,1,,3
00:32:08 2021/02/13,3,3,,1,6,3,,,3
00:42:11 2021/02/13,1,3,,,3,3,,,3
00:52:14 2021/02/13,1,5,,1,2,2,,,4
01:02:17 2021/02/13,1,6,,1,2,2,,,5
01:12:20 2021/02/13,,4,,1,2,3,,,3
01:22:23 2021/02/13,,3,,1,2,3,,,2
01:32:25 2021/02/13,,4,,1,2,1,,,2
01:42:28 2021/02/13,,4,,1,2,2,,,2
01:52:30 2021/02/13,,2,,,1,2,,,1
02:02:33 2021/02/13,,1,,,1,2,,,
02:12:36 2021/02/13,,2,,,,1,,,
02:22:38 2021/02/13,,2,,,,1,,,
02:32:41 2021/02/13,,1,,,,1,,,
02:42:44 2021/02/13,,1,,,,,,,
02:52:46 2021/02/13,,1,,,,,,,
03:02:49 2021/02/13,,1,,,,,,,1
03:12:52 2021/02/13,,1,,1,,,,,1
03:22:54 2021/02/13,,1,,1,,,,,1
03:32:57 2021/02/13,,1,1,1,,,,,1
03:43:00 2021/02/13,,1,1,1,,,,,1
03:53:02 2021/02/13,,2,1,1,,,,,1
04:03:05 2021/02/13,1,2,1,1,,1,,,1
04:13:07 2021/02/13,2,1,1,,,1,1,,1
04:23:10 2021/02/13,3,1,1,1,,2,2,,1
04:33:12 2021/02/13,3,3,,1,,2,2,,1
04:43:15 2021/02/13,5,6,,1,1,3,2,,2
04:53:17 2021/02/13,6,7,,1,1,4,2,,3
05:03:20 2021/02/13,6,6,,1,1,3,4,,2
05:13:23 2021/02/13,4,7,,1,1,3,4,,2
05:23:26 2021/02/13,3,8,,,1,4,4,,6
05:33:29 2021/02/13,4,9,,1,1,4,6,,8
05:43:31 2021/02/13,4,6,2,2,,3,6,,9
05:53:34 2021/02/13,3,9,2,2,3,4,6,,10
06:03:37 2021/02/13,6,11,4,5,3,5,6,,13
06:13:39 2021/02/13,13,13,4,5,3,7,6,,16
06:23:41 2021/02/13,19,15,5,10,9,6,7,,14
06:33:44 2021/02/13,19,20,6,14,10,7,8,,18
06:43:46 2021/02/13,22,24,4,16,10,7,11,,18
06:53:49 2021/02/13,26,29,4,15,7,8,13,,24
07:03:51 2021/02/13,35,30,4,15,8,11,13,,23
07:13:54 2021/02/13,31,29,5,17,9,14,20,2,24
07:23:57 2021/02/13,26,35,7,15,5,17,22,2,24
07:34:00 2021/02/13,27,33,9,14,9,21,26,6,22
07:44:03 2021/02/13,24,37,15,16,14,26,33,6,27
07:54:05 2021/02/13,24,42,19,22,14,27,34,6,21
08:04:08 2021/02/13,17,41,20,27,14,28,43,8,23
08:14:10 2021/02/13,22,47,19,32,16,23,39,7,25
08:24:13 2021/02/13,31,48,16,32,15,33,40,9,27
08:34:16 2021/02/13,31,53,16,33,12,31,35,6,36
08:44:18 2021/02/13,37,55,14,32,12,30,32,7,39
08:54:20 2021/02/13,44,51,12,28,13,34,41,9,36
09:04:23 2021/02/13,45,64,11,27,16,39,36,12,36
09:14:26 2021/02/13,48,71,13,27,18,48,36,13,36
09:24:29 2021/02/13,45,74,14,29,20,46,38,12,36
09:34:32 2021/02/13,47,73,11,31,24,40,38,13,31
09:44:35 2021/02/13,49,75,11,28,20,44,40,13,32
09:54:37 2021/02/13,44,75,8,37,20,46,31,11,27
10:04:40 2021/02/13,43,64,9,35,18,43,30,13,34
10:14:43 2021/02/13,39,61,9,37,16,36,26,16,36
10:24:46 2021/02/13,39,59,8,30,17,35,33,20,35
10:34:48 2021/02/13,47,65,8,31,14,35,33,21,35
10:44:51 2021/02/13,49,64,7,31,17,38,33,21,30
10:54:53 2021/02/13,53,61,8,27,20,41,33,21,34
11:04:55 2021/02/13,60,75,10,29,18,35,44,23,35
11:14:57 2021/02/13,59,80,10,31,20,36,39,18,30
11:25:00 2021/02/13,60,69,8,35,24,34,33,17,31
11:35:03 2021/02/13,54,66,9,36,23,33,33,21,36
11:45:05 2021/02/13,43,60,10,34,19,30,31,20,34
11:55:08 2021/02/13,45,61,12,33,20,27,31,20,29
12:05:10 2021/02/13,43,50,11,32,20,25,29,19,30
12:15:13 2021/02/13,40,44,10,27,17,22,25,21,28
12:25:16 2021/02/13,39,45,11,23,11,26,23,13,25
12:35:19 2021/02/13,36,41,12,22,13,22,23,10,25
12:45:21 2021/02/13,38,34,10,23,14,22,16,8,27
12:55:24 2021/02/13,34,33,10,24,14,22,13,11,27
13:05:26 2021/02/13,31,35,12,20,15,21,6,10,26
13:15:28 2021/02/13,29,41,14,21,15,24,3,11,27
13:25:30 2021/02/13,27,38,17,22,14,22,,10,28
13:35:33 2021/02/13,30,41,17,22,13,18,,9,27
13:45:36 2021/02/13,31,42,16,16,11,20,,9,27
13:55:38 2021/02/13,34,45,16,21,12,24,,11,24
14:05:41 2021/02/13,35,46,11,19,14,23,,13,25
14:15:44 2021/02/13,36,41,11,23,13,21,1,20,23
14:25:46 2021/02/13,35,42,11,23,15,21,6,18,26
14:35:49 2021/02/13,29,43,6,18,20,21,11,20,23
14:45:52 2021/02/13,27,39,8,17,20,21,12,23,24
14:55:55 2021/02/13,25,37,10,12,23,17,13,19,22
15:05:58 2021/02/13,19,40,9,17,24,15,15,20,25
15:16:01 2021/02/13,17,35,8,23,21,13,19,10,25
15:26:03 2021/02/13,25,41,7,18,21,12,16,11,28
15:36:06 2021/02/13,25,40,8,18,22,13,18,16,30
15:46:08 2021/02/13,30,42,7,19,17,14,16,16,27
15:56:11 2021/02/13,31,42,3,23,18,16,21,19,28
16:06:13 2021/02/13,35,31,3,19,14,19,24,17,32
16:16:15 2021/02/13,38,33,3,19,14,21,25,16,29
16:26:18 2021/02/13,37,32,5,22,16,23,29,19,30
16:36:21 2021/02/13,31,30,4,23,14,21,28,15,25
16:46:23 2021/02/13,27,30,6,26,14,16,30,16,28
16:56:25 2021/02/13,30,26,7,31,13,19,28,14,32
17:06:28 2021/02/13,33,29,7,33,15,22,30,14,28
17:16:31 2021/02/13,37,31,8,30,17,20,30,12,24
17:26:34 2021/02/13,39,33,6,27,17,18,29,12,28
17:36:36 2021/02/13,37,37,6,24,17,17,28,8,29
17:46:39 2021/02/13,41,37,7,25,16,19,25,4,27
17:56:42 2021/02/13,33,41,8,23,16,17,23,5,25
18:06:45 2021/02/13,33,43,9,21,16,12,23,4,20
18:16:48 2021/02/13,33,43,8,20,13,9,16,2,20
18:26:51 2021/02/13,32,42,9,21,12,8,16,2,19
18:36:54 2021/02/13,28,40,11,17,8,9,18,1,18
18:46:56 2021/02/13,23,39,7,16,8,11,24,1,16
18:56:58 2021/02/13,22,38,6,13,8,17,26,1,18
19:07:01 2021/02/13,24,35,6,13,8,22,24,,15
19:17:05 2021/02/13,21,31,4,10,8,22,22,,17
19:27:07 2021/02/13,19,27,6,7,7,24,19,,18
19:37:10 2021/02/13,14,28,4,5,9,22,19,,15
19:47:13 2021/02/13,13,23,5,4,9,22,16,,17
19:57:16 2021/02/13,10,26,6,6,10,17,10,,16
20:07:18 2021/02/13,13,24,9,6,10,9,11,,16
20:17:20 2021/02/13,13,26,8,8,12,8,11,,17
20:27:23 2021/02/13,12,28,7,8,11,10,9,,22
20:37:26 2021/02/13,12,30,6,9,9,9,8,,22
20:47:29 2021/02/13,14,28,4,9,13,7,8,,21
20:57:32 2021/02/13,12,22,5,10,12,10,7,,22
21:07:34 2021/02/13,15,21,3,8,10,14,7,,22
21:17:37 2021/02/13,17,21,2,11,8,14,8,,24
21:27:40 2021/02/13,14,23,2,9,7,11,7,,21
21:37:43 2021/02/13,14,21,2,8,9,9,7,,18
21:47:45 2021/02/13,15,18,2,8,10,9,7,,16
21:57:48 2021/02/13,16,21,1,8,6,8,6,,16
22:07:51 2021/02/13,13,17,,7,7,3,4,,13
22:17:54 2021/02/13,11,18,,5,7,2,3,,13
22:27:56 2021/02/13,8,10,,6,6,2,2,,13
22:37:58 2021/02/13,10,13,,7,6,2,2,,9
22:48:00 2021/02/13,10,11,2,11,3,4,3,,8
22:58:03 2021/02/13,8,8,4,12,3,8,3,,7
23:08:06 2021/02/13,6,7,4,11,2,7,1,,7
23:18:09 2021/02/13,7,7,4,12,2,7,1,,6
23:28:11 2021/02/13,6,8,4,11,4,6,1,,3
23:38:14 2021/02/13,4,7,4,9,4,6,1,,2
23:48:17 2021/02/13,4,4,2,6,4,6,,,2
23:58:20 2021/02/13,4,5,2,2,4,3,,,2
00:08:23 2021/02/14,3,6,,2,4,,1,,1
00:18:26 2021/02/14,2,5,,,4,,1,,3
00:28:28 2021/02/14,1,3,,,3,,1,,4
00:38:31 2021/02/14,1,2,1,1,1,,1,,3
00:48:34 2021/02/14,1,3,1,2,2,2,1,,3
00:58:37 2021/02/14,1,3,1,2,2,2,1,,4
01:08:39 2021/02/14,,2,1,4,2,2,,,4
01:18:42 2021/02/14,,3,1,4,1,2,,,3
01:28:44 2021/02/14,,3,1,5,1,2,,,2
01:38:47 2021/02/14,,3,1,5,1,2,,,1
01:48:49 2021/02/14,,3,,4,,2,,,1
01:58:52 2021/02/14,,3,,3,,,,,1
02:08:54 2021/02/14,,2,,2,,,,,
02:18:56 2021/02/14,,2,,1,4,,,,
02:28:59 2021/02/14,,2,,1,4,,,,
02:39:01 2021/02/14,,4,,1,4,,,,
02:49:03 2021/02/14,,4,,1,4,,,,
02:59:06 2021/02/14,,3,,1,4,,,,
03:09:08 2021/02/14,,3,,1,4,,,,
03:19:11 2021/02/14,,3,,2,2,,,,1
03:29:14 2021/02/14,,3,,1,1,,,,1
03:39:16 2021/02/14,,2,,1,1,,,,1
03:49:19 2021/02/14,,,,1,2,,,,1
03:59:21 2021/02/14,1,,,2,2,,,,1
04:09:23 2021/02/14,1,,,3,2,,1,,2
04:19:26 2021/02/14,1,,,2,2,,1,,2
04:29:29 2021/02/14,1,,,2,3,,1,,1
04:39:31 2021/02/14,2,,,2,2,,1,,1
04:49:33 2021/02/14,2,,,2,2,,2,,1
04:59:36 2021/02/14,2,1,,2,2,1,2,,3
05:09:39 2021/02/14,1,1,,2,2,1,2,,3
05:19:42 2021/02/14,3,2,1,1,2,2,1,,2
05:29:45 2021/02/14,4,2,1,1,1,2,1,,2
05:39:47 2021/02/14,6,3,2,2,1,2,2,,3
05:49:49 2021/02/14,6,3,2,2,1,3,1,,5
05:59:52 2021/02/14,8,3,2,2,1,2,1,,5
06:09:54 2021/02/14,11,5,2,1,,2,1,,7
06:19:57 2021/02/14,12,6,2,4,,2,2,,11
06:30:00 2021/02/14,11,7,2,5,,1,4,,11
06:40:02 2021/02/14,13,13,4,5,2,2,7,,13
06:50:05 2021/02/14,13,14,3,6,4,4,7,,12
07:00:08 2021/02/14,16,19,3,7,6,4,11,,13
07:10:10 2021/02/14,21,22,3,9,7,6,15,,14
07:20:12 2021/02/14,21,24,4,12,8,9,18,,13
07:30:15 2021/02/14,20,29,5,14,12,10,20,,15
07:40:17 2021/02/14,21,31,7,16,14,19,23,,15
07:50:20 2021/02/14,24,35,8,20,12,19,25,,19
08:00:23 2021/02/14,28,39,11,21,12,20,24,,19
08:10:26 2021/02/14,29,43,13,22,11,21,27,,23
08:20:28 2021/02/14,29,49,15,21,14,21,29,,24
08:30:31 2021/02/14,32,50,16,22,14,18,32,,25
08:40:33 2021/02/14,37,51,13,19,16,21,38,,24
08:50:35 2021/02/14,45,51,14,20,19,16,35,,31
09:00:38 2021/02/14,42,49,13,19,22,20,31,2,32
09:10:41 2021/02/14,43,51,12,22,22,21,37,4,35
09:20:44 2021/02/14,45,45,10,26,22,23,39,7,33
09:30:47 2021/02/14,42,46,8,29,24,23,36,10,34
09:40:50 2021/02/14,44,45,7,31,26,26,32,14,33
09:50:53 2021/02/14,45,50,8,29,23,29,28,15,37
10:00:55 2021/02/14,47,48,8,33,20,29,30,17,35
